# pseudo_MSE2 hardware test vectors
# seed=42
# bit_widths=8,7,6,5,4
# num_chunks_per_bit_width=100
# chunk_size=128
# e2_win_divisor=4
# signedness: sgn=1 for every section in this file
# chunk scale source: DynamicInputQuantizer._chunk_scale(raw_chunk)
# chunk scale definition: pow2_floor(max(abs(raw_chunk))) with 1.0 for all-zero chunks
# metric input: values are already scaled FP32 numbers (scaled_v)
# do not apply a chunk scale before feeding these values to the pseudo_MSE2 block
# decision rule: choose_exp2 if floor(expected_e2_wins / e2_win_divisor) >= expected_e1_wins else choose_exp1
# expected_error rows: selected chunk error matching expected_decision, as fp32_hex fp32_dec
# expected_e1_wins/expected_e2_wins rows: per-value pseudo_diff winners; ties are not counted
# expected_e2_wins_shifted row: floor(expected_e2_wins / e2_win_divisor), used only for expected_decision
# expected_e2_wins_shift2 row: legacy floor(expected_e2_wins / 4) diagnostic
# mantissa mode: truncate
# q_exp*_bits are packed sign/exponent/mantissa fields after pseudo_MSE2 quantization
# q_exp*_exp_field and q_exp*_mant_field are the stored exponent and mantissa fields as integers
# q_exp*_mant_bits are the stored mantissa fields as zero-padded binary strings
# err_exp*_pre_square = scaled-q_exp* for each value, before squaring
# chunk_diff_exp2_minus_exp1 is the signed sum of pseudo_diff values for debug; it does not drive expected_decision
# pseudo_diff_exp2_minus_exp1 is the bit-level pseudo err2-err1 signal for each value
# chunk max rows use max absolute value; *_value is the signed value at that index
# chunk max rows: chunk_max_abs_index value_index, chunk_max_abs_scaled_value scaled_fp32_hex scaled_fp32_dec, chunk_max_abs_scaled_abs scaled_abs_fp32_hex scaled_abs_fp32_dec
# value rows: value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec

BEGIN_BIT_WIDTH 8
sgn 1
exp1_format fp8_e1m6
exp2_format fp8_e2m5
m1 6
m2 5
BEGIN_CHUNK 0
err_exp1 0.009765625
err_exp2 0.041015625
chunk_diff_exp2_minus_exp1 160
expected_e1_wins 160
expected_e2_wins 0
expected_e2_wins_shifted 0
expected_e2_wins_shift2 0
expected_decision exp1
expected_error 0x3c200000 0.009765625
chunk_max_abs_index 127
chunk_max_abs_scaled_value 0xbfff8000 -1.99609375
chunk_max_abs_scaled_abs 0x3fff8000 1.99609375
# value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec
VALUES_BEGIN
074 0x3f7f9cf4 0.998488665 0011111 0 31 11111 0101111 2 15 1111 0x3cf39e80 0.0297386646 0x3cf39e80 0.0297386646 0x00000000 0
075 0xbb7f9e26 -0.00390041759 1000000 0 0 00000 1000000 0 0 0000 0xbb7f9e26 -0.00390041759 0xbb7f9e26 -0.00390041759 0x00000000 0
076 0xbdffb3fc -0.124855012 1000011 0 3 00011 1000111 0 7 0111 0xbcfecff0 -0.0311050117 0xbc7d9fe0 -0.0154800117 0xc0400000 -3
077 0xbaffbf2c -0.00195119297 1000000 0 0 00000 1000000 0 0 0000 0xbaffbf2c -0.00195119297 0xbaffbf2c -0.00195119297 0x00000000 0
078 0xbaff956e -0.00194994896 1000000 0 0 00000 1000000 0 0 0000 0xbaff956e -0.00194994896 0xbaff956e -0.00194994896 0x00000000 0
079 0xbb7f952a -0.00389988208 1000000 0 0 00000 1000000 0 0 0000 0xbb7f952a -0.00389988208 0xbb7f952a -0.00389988208 0x00000000 0
080 0xbd7f815e -0.0623792335 1000001 0 1 00001 1000011 0 3 0011 0xbcff02bc -0.0311292335 0xbc7e0578 -0.0155042335 0xc0400000 -3
081 0x3cffb06e 0.0312120579 0000000 0 0 00000 0000001 0 1 0001 0x3cffb06e 0.0312120579 0x3c7f60dc 0.0155870579 0xc0400000 -3
082 0x3f7fb8b7 0.998912275 0011111 0 31 11111 0101111 2 15 1111 0x3cf716e0 0.0301622748 0x3cf716e0 0.0301622748 0x00000000 0
083 0xbdffb291 -0.124852307 1000011 0 3 00011 1000111 0 7 0111 0xbcfeca44 -0.0311023071 0xbc7d9488 -0.0154773071 0xc0400000 -3
084 0xbcffa2b5 -0.0312055144 1000000 0 0 00000 1000001 0 1 0001 0xbcffa2b5 -0.0312055144 0xbc7f456a -0.0155805144 0xc0400000 -3
085 0xbfff9aa9 -1.99690735 1111111 1 31 11111 1111111 3 15 1111 0xbce6aa40 -0.0281573534 0xbd735520 -0.0594073534 0x40400000 3
086 0x3f7fbcdc 0.998975515 0011111 0 31 11111 0101111 2 15 1111 0x3cf79b80 0.0302255154 0x3cf79b80 0.0302255154 0x00000000 0
087 0x3bff8669 0.00779800536 0000000 0 0 00000 0000000 0 0 0000 0x3bff8669 0.00779800536 0x3bff8669 0.00779800536 0x00000000 0
088 0xbd7f941f -0.0623971187 1000001 0 1 00001 1000011 0 3 0011 0xbcff283e -0.0311471187 0xbc7e507c -0.0155221187 0xc0400000 -3
089 0x3f7f8538 0.998126507 0011111 0 31 11111 0101111 2 15 1111 0x3cf0a700 0.0293765068 0x3cf0a700 0.0293765068 0x00000000 0
090 0x3e7f931d 0.24958463 0000111 0 7 00111 0001111 0 15 1111 0x3cfc98e8 0.0308346301 0x3c7931d0 0.0152096301 0xc0400000 -3
091 0x3b7f86e4 0.00389903132 0000000 0 0 00000 0000000 0 0 0000 0x3b7f86e4 0.00389903132 0x3b7f86e4 0.00389903132 0x00000000 0
092 0xbdffa53c -0.124826878 1000011 0 3 00011 1000111 0 7 0111 0xbcfe94f0 -0.0310768783 0xbc7d29e0 -0.0154518783 0xc0400000 -3
093 0xbaff9d60 -0.00195018575 1000000 0 0 00000 1000000 0 0 0000 0xbaff9d60 -0.00195018575 0xbaff9d60 -0.00195018575 0x00000000 0
094 0xbfff9571 -1.99674809 1111111 1 31 11111 1111111 3 15 1111 0xbce55c40 -0.0279980898 0xbd72ae20 -0.0592480898 0x40400000 3
095 0x3dffa0cc 0.124818414 0000011 0 3 00011 0000111 0 7 0111 0x3cfe8330 0.0310684144 0x3c7d0660 0.0154434144 0xc0400000 -3
096 0x3d7f8eac 0.0623919219 0000001 0 1 00001 0000011 0 3 0011 0x3cff1d58 0.0311419219 0x3c7e3ab0 0.0155169219 0xc0400000 -3
097 0x3aff8bbb 0.0019496599 0000000 0 0 00000 0000000 0 0 0000 0x3aff8bbb 0.0019496599 0x3aff8bbb 0.0019496599 0x00000000 0
098 0xbeff9bfc -0.499236941 1001111 0 15 01111 1011111 1 15 1111 0xbcf9bfc0 -0.0304869413 0xbc737f80 -0.0148619413 0xc0400000 -3
099 0x3b7f9ad4 0.00390021969 0000000 0 0 00000 0000000 0 0 0000 0x3b7f9ad4 0.00390021969 0x3b7f9ad4 0.00390021969 0x00000000 0
100 0x3cff9a83 0.0312016066 0000000 0 0 00000 0000001 0 1 0001 0x3cff9a83 0.0312016066 0x3c7f3506 0.0155766066 0xc0400000 -3
101 0x3fffbde7 1.99798286 0111111 1 31 11111 0111111 3 15 1111 0x3cef79c0 0.0292328596 0x3d77bce0 0.0604828596 0x40400000 3
102 0xbfff890b -1.99636972 1111111 1 31 11111 1111111 3 15 1111 0xbce242c0 -0.0276197195 0xbd712160 -0.0588697195 0x40400000 3
103 0xbfffae93 -1.99751508 1111111 1 31 11111 1111111 3 15 1111 0xbceba4c0 -0.0287650824 0xbd75d260 -0.0600150824 0x40400000 3
104 0x3aff9c29 0.00195014954 0000000 0 0 00000 0000000 0 0 0000 0x3aff9c29 0.00195014954 0x3aff9c29 0.00195014954 0x00000000 0
105 0xbeffaa99 -0.499348432 1001111 0 15 01111 1011111 1 15 1111 0xbcfaa990 -0.0305984318 0xbc755320 -0.0149734318 0xc0400000 -3
106 0x3e7fb93f 0.249730095 0000111 0 7 00111 0001111 0 15 1111 0x3cfdc9f8 0.0309800953 0x3c7b93f0 0.0153550953 0xc0400000 -3
107 0x3dffbfa0 0.124877214 0000011 0 3 00011 0000111 0 7 0111 0x3cfefe80 0.0311272144 0x3c7dfd00 0.0155022144 0xc0400000 -3
108 0x3aff8ce9 0.00194969506 0000000 0 0 00000 0000000 0 0 0000 0x3aff8ce9 0.00194969506 0x3aff8ce9 0.00194969506 0x00000000 0
109 0xbcff8356 -0.0311905555 1000000 0 0 00000 1000001 0 1 0001 0xbcff8356 -0.0311905555 0xbc7f06ac -0.0155655555 0xc0400000 -3
110 0xbf7fba24 -0.998934031 1011111 0 31 11111 1101111 2 15 1111 0xbcf74480 -0.0301840305 0xbcf74480 -0.0301840305 0x00000000 0
111 0x3bffa735 0.00780191505 0000000 0 0 00000 0000000 0 0 0000 0x3bffa735 0.00780191505 0x3bffa735 0.00780191505 0x00000000 0
112 0xbdffa67f -0.124829285 1000011 0 3 00011 1000111 0 7 0111 0xbcfe99fc -0.0310792848 0xbc7d33f8 -0.0154542848 0xc0400000 -3
113 0x3cffbd72 0.0312182643 0000000 0 0 00000 0000001 0 1 0001 0x3cffbd72 0.0312182643 0x3c7f7ae4 0.0155932643 0xc0400000 -3
114 0x3d7fbda8 0.0624367297 0000001 0 1 00001 0000011 0 3 0011 0x3cff7b50 0.0311867297 0x3c7ef6a0 0.0155617297 0xc0400000 -3
115 0xbaff9af9 -0.00195011415 1000000 0 0 00000 1000000 0 0 0000 0xbaff9af9 -0.00195011415 0xbaff9af9 -0.00195011415 0x00000000 0
116 0xbd7f96b7 -0.0623995923 1000001 0 1 00001 1000011 0 3 0011 0xbcff2d6e -0.0311495923 0xbc7e5adc -0.0155245923 0xc0400000 -3
117 0xbe7f8fc9 -0.249571934 1000111 0 7 00111 1001111 0 15 1111 0xbcfc7e48 -0.0308219343 0xbc78fc90 -0.0151969343 0xc0400000 -3
118 0x3aff87a0 0.00194953755 0000000 0 0 00000 0000000 0 0 0000 0x3aff87a0 0.00194953755 0x3aff87a0 0.00194953755 0x00000000 0
119 0xbbffa1e0 -0.00780127943 1000000 0 0 00000 1000000 0 0 0000 0xbbffa1e0 -0.00780127943 0xbbffa1e0 -0.00780127943 0x00000000 0
120 0xbd7fa310 -0.0624113679 1000001 0 1 00001 1000011 0 3 0011 0xbcff4620 -0.0311613679 0xbc7e8c40 -0.0155363679 0xc0400000 -3
121 0x3eff9033 0.499147028 0001111 0 15 01111 0011111 1 15 1111 0x3cf90330 0.0303970277 0x3c720660 0.0147720277 0xc0400000 -3
122 0xbcffa603 -0.0312070902 1000000 0 0 00000 1000001 0 1 0001 0xbcffa603 -0.0312070902 0xbc7f4c06 -0.0155820902 0xc0400000 -3
123 0xbe7fabfd -0.249679521 1000111 0 7 00111 1001111 0 15 1111 0xbcfd5fe8 -0.0309295207 0xbc7abfd0 -0.0153045207 0xc0400000 -3
124 0x3dffa9b6 0.124835417 0000011 0 3 00011 0000111 0 7 0111 0x3cfea6d8 0.0310854167 0x3c7d4db0 0.0154604167 0xc0400000 -3
125 0x3e7f8f94 0.249571145 0000111 0 7 00111 0001111 0 15 1111 0x3cfc7ca0 0.0308211446 0x3c78f940 0.0151961446 0xc0400000 -3
126 0xbbff9fd1 -0.00780103402 1000000 0 0 00000 1000000 0 0 0000 0xbbff9fd1 -0.00780103402 0xbbff9fd1 -0.00780103402 0x00000000 0
127 0xbb7fa27d -0.00390067627 1000000 0 0 00000 1000000 0 0 0000 0xbb7fa27d -0.00390067627 0xbb7fa27d -0.00390067627 0x00000000 0
VALUES_END
END_CHUNK 76
BEGIN_CHUNK 77
err_exp1 0.0229200888
err_exp2 0.0154280234
chunk_diff_exp2_minus_exp1 -54
expected_e1_wins 7
expected_e2_wins 61
expected_e2_wins_shifted 15
expected_e2_wins_shift2 15
expected_decision exp2
expected_error 0x3c7cc5d2 0.0154280234
chunk_max_abs_index 78
chunk_max_abs_scaled_value 0x3fc80000 1.5625
chunk_max_abs_scaled_abs 0x3fc80000 1.5625
# value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec
VALUES_BEGIN
000 0xbcb80000 -0.0224609375 1000000 0 0 00000 1000001 0 1 0001 0xbcb80000 -0.0224609375 0xbbe00000 -0.0068359375 0xc0000000 -2
001 0x3ce80000 0.0283203125 0000000 0 0 00000 0000001 0 1 0001 0x3ce80000 0.0283203125 0x3c500000 0.0126953125 0xc0400000 -3
002 0xbb6c0000 -0.00360107422 1000000 0 0 00000 1000000 0 0 0000 0xbb6c0000 -0.00360107422 0xbb6c0000 -0.00360107422 0x00000000 0
003 0x3b980000 0.00463867188 0000000 0 0 00000 0000000 0 0 0000 0x3b980000 0.00463867188 0x3b980000 0.00463867188 0x00000000 0
004 0x3dd80000 0.10546875 0000011 0 3 00011 0000110 0 6 0110 0x3c400000 0.01171875 0x3c400000 0.01171875 0x80000000 -0
005 0xbe3a0000 -0.181640625 1000101 0 5 00101 1001011 0 11 1011 0xbcd00000 -0.025390625 0xbc200000 -0.009765625 0xc0000000 -2
006 0xbbbc0000 -0.00573730469 1000000 0 0 00000 1000000 0 0 0000 0xbbbc0000 -0.00573730469 0xbbbc0000 -0.00573730469 0x00000000 0
007 0x3dd00000 0.1015625 0000011 0 3 00011 0000110 0 6 0110 0x3c000000 0.0078125 0x3c000000 0.0078125 0x80000000 -0
008 0x3d640000 0.0556640625 0000001 0 1 00001 0000011 0 3 0011 0x3cc80000 0.0244140625 0x3c100000 0.0087890625 0xc0000000 -2
009 0xbfb60000 -1.421875 1101101 1 13 01101 1110110 3 6 0110 0xbc800000 -0.015625 0xbd400000 -0.046875 0x40000000 2
010 0xbaa00000 -0.00122070312 1000000 0 0 00000 1000000 0 0 0000 0xbaa00000 -0.00122070312 0xbaa00000 -0.00122070312 0x00000000 0
011 0x3b1e0000 0.00241088867 0000000 0 0 00000 0000000 0 0 0000 0x3b1e0000 0.00241088867 0x3b1e0000 0.00241088867 0x00000000 0
012 0x3e220000 0.158203125 0000101 0 5 00101 0001010 0 10 1010 0x3b000000 0.001953125 0x3b000000 0.001953125 0x80000000 -0
013 0xbe800000 -0.25 1001000 0 8 01000 1010000 1 0 0000 0x00000000 0 0x00000000 0 0x80000000 -0
014 0xb9c80000 -0.000381469727 1000000 0 0 00000 1000000 0 0 0000 0xb9c80000 -0.000381469727 0xb9c80000 -0.000381469727 0x00000000 0
015 0xbc800000 -0.015625 1000000 0 0 00000 1000001 0 1 0001 0xbc800000 -0.015625 0x00000000 0 0xbf800000 -1
016 0xbe800000 -0.25 1001000 0 8 01000 1010000 1 0 0000 0x00000000 0 0x00000000 0 0x80000000 -0
017 0x3f640000 0.890625 0011100 0 28 11100 0101100 2 12 1100 0x3c800000 0.015625 0x3c800000 0.015625 0x00000000 0
018 0x3c280000 0.0102539062 0000000 0 0 00000 0000000 0 0 0000 0x3c280000 0.0102539062 0x3c280000 0.0102539062 0x00000000 0
019 0xba800000 -0.0009765625 1000000 0 0 00000 1000000 0 0 0000 0xba800000 -0.0009765625 0xba800000 -0.0009765625 0x00000000 0
020 0xba8a0000 -0.00105285645 1000000 0 0 00000 1000000 0 0 0000 0xba8a0000 -0.00105285645 0xba8a0000 -0.00105285645 0x00000000 0
021 0xbdd00000 -0.1015625 1000011 0 3 00011 1000110 0 6 0110 0xbc000000 -0.0078125 0xbc000000 -0.0078125 0x80000000 -0
022 0xbe980000 -0.296875 1001001 0 9 01001 1010011 1 3 0011 0xbc800000 -0.015625 0x00000000 0 0xbf800000 -1
023 0x3d100000 0.03515625 0000001 0 1 00001 0000010 0 2 0010 0x3b800000 0.00390625 0x3b800000 0.00390625 0x80000000 -0
024 0xbb9e0000 -0.00482177734 1000000 0 0 00000 1000000 0 0 0000 0xbb9e0000 -0.00482177734 0xbb9e0000 -0.00482177734 0x00000000 0
025 0x3c300000 0.0107421875 0000000 0 0 00000 0000000 0 0 0000 0x3c300000 0.0107421875 0x3c300000 0.0107421875 0x00000000 0
026 0xbc940000 -0.0180664062 1000000 0 0 00000 1000001 0 1 0001 0xbc940000 -0.0180664062 0xbb200000 -0.00244140625 0xbf800000 -1
027 0x3ae00000 0.00170898438 0000000 0 0 00000 0000000 0 0 0000 0x3ae00000 0.00170898438 0x3ae00000 0.00170898438 0x00000000 0
028 0xbb420000 -0.00296020508 1000000 0 0 00000 1000000 0 0 0000 0xbb420000 -0.00296020508 0xbb420000 -0.00296020508 0x00000000 0
029 0xbd400000 -0.046875 1000001 0 1 00001 1000011 0 3 0011 0xbc800000 -0.015625 0x00000000 0 0xbf800000 -1
030 0x3d0e0000 0.0346679688 0000001 0 1 00001 0000010 0 2 0010 0x3b600000 0.00341796875 0x3b600000 0.00341796875 0x80000000 -0
031 0x3bd20000 0.00640869141 0000000 0 0 00000 0000000 0 0 0000 0x3bd20000 0.00640869141 0x3bd20000 0.00640869141 0x00000000 0
032 0xbe4e0000 -0.201171875 1000110 0 6 00110 1001100 0 12 1100 0xbc600000 -0.013671875 0xbc600000 -0.013671875 0x80000000 -0
033 0xbf2e0000 -0.6796875 1010101 0 21 10101 1100101 2 5 0101 0xbcc00000 -0.0234375 0xbcc00000 -0.0234375 0x00000000 0
034 0x3f440000 0.765625 0011000 0 24 11000 0101000 2 8 1000 0x3c800000 0.015625 0x3c800000 0.015625 0x00000000 0
035 0xbe880000 -0.265625 1001000 0 8 01000 1010001 1 1 0001 0xbc800000 -0.015625 0x00000000 0 0xbf800000 -1
036 0xbd300000 -0.04296875 1000001 0 1 00001 1000010 0 2 0010 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x80000000 -0
037 0x3d600000 0.0546875 0000001 0 1 00001 0000011 0 3 0011 0x3cc00000 0.0234375 0x3c000000 0.0078125 0xc0000000 -2
038 0x38800000 6.10351562e-05 0000000 0 0 00000 0000000 0 0 0000 0x38800000 6.10351562e-05 0x38800000 6.10351562e-05 0x00000000 0
039 0xbbf00000 -0.00732421875 1000000 0 0 00000 1000000 0 0 0000 0xbbf00000 -0.00732421875 0xbbf00000 -0.00732421875 0x00000000 0
040 0xbd780000 -0.060546875 1000001 0 1 00001 1000011 0 3 0011 0xbcf00000 -0.029296875 0xbc600000 -0.013671875 0xc0400000 -3
041 0x3e8a0000 0.26953125 0001000 0 8 01000 0010001 1 1 0001 0x3ca00000 0.01953125 0x3b800000 0.00390625 0xc0000000 -2
042 0xbe440000 -0.19140625 1000110 0 6 00110 1001100 0 12 1100 0xbb800000 -0.00390625 0xbb800000 -0.00390625 0x80000000 -0
043 0x3eb00000 0.34375 0001011 0 11 01011 0010110 1 6 0110 0x00000000 0 0x00000000 0 0x80000000 -0
044 0x3f960000 1.171875 0100101 1 5 00101 0110010 3 2 0010 0x3c800000 0.015625 0x3d400000 0.046875 0x40000000 2
045 0x3ed40000 0.4140625 0001101 0 13 01101 0011010 1 10 1010 0x3c000000 0.0078125 0x3c000000 0.0078125 0x80000000 -0
046 0xba600000 -0.000854492188 1000000 0 0 00000 1000000 0 0 0000 0xba600000 -0.000854492188 0xba600000 -0.000854492188 0x00000000 0
047 0x3b580000 0.00329589844 0000000 0 0 00000 0000000 0 0 0000 0x3b580000 0.00329589844 0x3b580000 0.00329589844 0x00000000 0
048 0x3f9c0000 1.21875 0100111 1 7 00111 0110011 3 3 0011 0x00000000 0 0x3d000000 0.03125 0x3f800000 1
049 0x39900000 0.000274658203 0000000 0 0 00000 0000000 0 0 0000 0x39900000 0.000274658203 0x39900000 0.000274658203 0x00000000 0
050 0x3e160000 0.146484375 0000100 0 4 00100 0001001 0 9 1001 0x3cb00000 0.021484375 0x3bc00000 0.005859375 0xc0000000 -2
051 0x3ae20000 0.00172424316 0000000 0 0 00000 0000000 0 0 0000 0x3ae20000 0.00172424316 0x3ae20000 0.00172424316 0x00000000 0
052 0xbaa20000 -0.00123596191 1000000 0 0 00000 1000000 0 0 0000 0xbaa20000 -0.00123596191 0xbaa20000 -0.00123596191 0x00000000 0
053 0xbcfe0000 -0.0310058594 1000000 0 0 00000 1000001 0 1 0001 0xbcfe0000 -0.0310058594 0xbc7c0000 -0.0153808594 0xc0400000 -3
054 0x3da00000 0.078125 0000010 0 2 00010 0000101 0 5 0101 0x3c800000 0.015625 0x00000000 0 0xbf800000 -1
055 0x3b2c0000 0.00262451172 0000000 0 0 00000 0000000 0 0 0000 0x3b2c0000 0.00262451172 0x3b2c0000 0.00262451172 0x00000000 0
056 0xbce00000 -0.02734375 1000000 0 0 00000 1000001 0 1 0001 0xbce00000 -0.02734375 0xbc400000 -0.01171875 0xc0400000 -3
057 0x3de80000 0.11328125 0000011 0 3 00011 0000111 0 7 0111 0x3ca00000 0.01953125 0x3b800000 0.00390625 0xc0000000 -2
058 0xba000000 -0.00048828125 1000000 0 0 00000 1000000 0 0 0000 0xba000000 -0.00048828125 0xba000000 -0.00048828125 0x00000000 0
059 0xbb8c0000 -0.00427246094 1000000 0 0 00000 1000000 0 0 0000 0xbb8c0000 -0.00427246094 0xbb8c0000 -0.00427246094 0x00000000 0
060 0xb9100000 -0.000137329102 1000000 0 0 00000 1000000 0 0 0000 0xb9100000 -0.000137329102 0xb9100000 -0.000137329102 0x00000000 0
061 0xbeb60000 -0.35546875 1001011 0 11 01011 1010110 1 6 0110 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x80000000 -0
062 0x3ac00000 0.00146484375 0000000 0 0 00000 0000000 0 0 0000 0x3ac00000 0.00146484375 0x3ac00000 0.00146484375 0x00000000 0
063 0xbab00000 -0.00134277344 1000000 0 0 00000 1000000 0 0 0000 0xbab00000 -0.00134277344 0xbab00000 -0.00134277344 0x00000000 0
064 0xbdd80000 -0.10546875 1000011 0 3 00011 1000110 0 6 0110 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x80000000 -0
065 0xbd2e0000 -0.0424804688 1000001 0 1 00001 1000010 0 2 0010 0xbc380000 -0.0112304688 0xbc380000 -0.0112304688 0x80000000 -0
066 0x3b0c0000 0.00213623047 0000000 0 0 00000 0000000 0 0 0000 0x3b0c0000 0.00213623047 0x3b0c0000 0.00213623047 0x00000000 0
067 0x3c800000 0.015625 0000000 0 0 00000 0000001 0 1 0001 0x3c800000 0.015625 0x00000000 0 0xbf800000 -1
068 0x3c300000 0.0107421875 0000000 0 0 00000 0000000 0 0 0000 0x3c300000 0.0107421875 0x3c300000 0.0107421875 0x00000000 0
069 0xbc6e0000 -0.0145263672 1000000 0 0 00000 1000000 0 0 0000 0xbc6e0000 -0.0145263672 0xbc6e0000 -0.0145263672 0x00000000 0
070 0x3de80000 0.11328125 0000011 0 3 00011 0000111 0 7 0111 0x3ca00000 0.01953125 0x3b800000 0.00390625 0xc0000000 -2
071 0x3cda0000 0.0266113281 0000000 0 0 00000 0000001 0 1 0001 0x3cda0000 0.0266113281 0x3c340000 0.0109863281 0xc0000000 -2
072 0x3c000000 0.0078125 0000000 0 0 00000 0000000 0 0 0000 0x3c000000 0.0078125 0x3c000000 0.0078125 0x00000000 0
073 0xbec00000 -0.375 1001100 0 12 01100 1011000 1 8 1000 0x00000000 0 0x00000000 0 0x80000000 -0
074 0xbd700000 -0.05859375 1000001 0 1 00001 1000011 0 3 0011 0xbce00000 -0.02734375 0xbc400000 -0.01171875 0xc0400000 -3
075 0xbb440000 -0.00299072266 1000000 0 0 00000 1000000 0 0 0000 0xbb440000 -0.00299072266 0xbb440000 -0.00299072266 0x00000000 0
076 0x3d780000 0.060546875 0000001 0 1 00001 0000011 0 3 0011 0x3cf00000 0.029296875 0x3c600000 0.013671875 0xc0400000 -3
077 0xbd600000 -0.0546875 1000001 0 1 00001 1000011 0 3 0011 0xbcc00000 -0.0234375 0xbc000000 -0.0078125 0xc0000000 -2
078 0x3fc80000 1.5625 0110010 1 18 10010 0111001 3 9 1001 0x00000000 0 0x00000000 0 0x00000000 0
079 0xbac80000 -0.00152587891 1000000 0 0 00000 1000000 0 0 0000 0xbac80000 -0.00152587891 0xbac80000 -0.00152587891 0x00000000 0
080 0x3c080000 0.00830078125 0000000 0 0 00000 0000000 0 0 0000 0x3c080000 0.00830078125 0x3c080000 0.00830078125 0x00000000 0
081 0x3e380000 0.1796875 0000101 0 5 00101 0001011 0 11 1011 0x3cc00000 0.0234375 0x3c000000 0.0078125 0xc0000000 -2
082 0x3aa00000 0.00122070312 0000000 0 0 00000 0000000 0 0 0000 0x3aa00000 0.00122070312 0x3aa00000 0.00122070312 0x00000000 0
083 0xbc980000 -0.0185546875 1000000 0 0 00000 1000001 0 1 0001 0xbc980000 -0.0185546875 0xbb400000 -0.0029296875 0xbf800000 -1
084 0x3ba20000 0.00494384766 0000000 0 0 00000 0000000 0 0 0000 0x3ba20000 0.00494384766 0x3ba20000 0.00494384766 0x00000000 0
085 0x3bf80000 0.00756835938 0000000 0 0 00000 0000000 0 0 0000 0x3bf80000 0.00756835938 0x3bf80000 0.00756835938 0x00000000 0
086 0xbb200000 -0.00244140625 1000000 0 0 00000 1000000 0 0 0000 0xbb200000 -0.00244140625 0xbb200000 -0.00244140625 0x00000000 0
087 0xbe2e0000 -0.169921875 1000101 0 5 00101 1001010 0 10 1010 0xbc600000 -0.013671875 0xbc600000 -0.013671875 0x80000000 -0
088 0xbf240000 -0.640625 1010100 0 20 10100 1100100 2 4 0100 0xbc800000 -0.015625 0xbc800000 -0.015625 0x00000000 0
089 0x3a700000 0.000915527344 0000000 0 0 00000 0000000 0 0 0000 0x3a700000 0.000915527344 0x3a700000 0.000915527344 0x00000000 0
090 0x3df40000 0.119140625 0000011 0 3 00011 0000111 0 7 0111 0x3cd00000 0.025390625 0x3c200000 0.009765625 0xc0000000 -2
091 0x3adc0000 0.0016784668 0000000 0 0 00000 0000000 0 0 0000 0x3adc0000 0.0016784668 0x3adc0000 0.0016784668 0x00000000 0
092 0x3cea0000 0.0285644531 0000000 0 0 00000 0000001 0 1 0001 0x3cea0000 0.0285644531 0x3c540000 0.0129394531 0xc0400000 -3
093 0xbf6c0000 -0.921875 1011101 0 29 11101 1101101 2 13 1101 0xbc800000 -0.015625 0xbc800000 -0.015625 0x00000000 0
094 0x3a480000 0.000762939453 0000000 0 0 00000 0000000 0 0 0000 0x3a480000 0.000762939453 0x3a480000 0.000762939453 0x00000000 0
095 0x3fb60000 1.421875 0101101 1 13 01101 0110110 3 6 0110 0x3c800000 0.015625 0x3d400000 0.046875 0x40000000 2
096 0x3ed00000 0.40625 0001101 0 13 01101 0011010 1 10 1010 0x00000000 0 0x00000000 0 0x80000000 -0
097 0xbd380000 -0.044921875 1000001 0 1 00001 1000010 0 2 0010 0xbc600000 -0.013671875 0xbc600000 -0.013671875 0x80000000 -0
098 0x3c600000 0.013671875 0000000 0 0 00000 0000000 0 0 0000 0x3c600000 0.013671875 0x3c600000 0.013671875 0x00000000 0
099 0xbc200000 -0.009765625 1000000 0 0 00000 1000000 0 0 0000 0xbc200000 -0.009765625 0xbc200000 -0.009765625 0x00000000 0
